2022-05-26T04:40:21.831Z | DEBUG | USER_CERT | Checking if vpn authentication certificate refresh is needed | 
2022-05-26T04:40:21.834Z | INFO  | USER_CERT | Using existing vpn authentication keys | 
2022-05-26T04:40:21.837Z | DEBUG | USER_CERT | Stored vpn authentication certificate does not need refreshing (valid until 2022-05-26 20:52:48 +0000) | 
2022-05-26T04:40:25.117Z | INFO  | SETTINGS:CHANGE | Setting was changed | {"value":"null","key":"LastTimeForeground"}
2022-05-26T04:40:25.296Z | INFO  | CONN:CHANGE | VPN update state to VPN state - Connected to: 185.159.157.89 | 
2022-05-26T04:40:25.296Z | INFO  | SETTINGS:CHANGE | Setting was changed | {"value":"null","key":"LastTimeForeground"}
2022-05-26T04:40:25.298Z | INFO  | SETTINGS:CHANGE | Setting was changed | {"key":"IntentionallyDisconnected","value":"false"}
2022-05-26T04:40:25.298Z | DEBUG | NET | Request started | {"url":"http:\/\/protonstatus.com\/vpn_status","method":"GET"}
2022-05-26T04:40:25.306Z | INFO  | SETTINGS:CHANGE | Setting was changed | {"value":"1653540024.5425727","key":"LastConnectedTimeStamp"}
2022-05-26T04:40:27.218Z | DEBUG | NET | Request finished OK | {"url":"http:\/\/protonstatus.com\/vpn_status","method":"GET"}
2022-05-26T04:40:55.299Z | DEBUG | NET | Request started | {"url":"http:\/\/protonstatus.com\/vpn_status","method":"GET"}
2022-05-26T04:40:56.370Z | DEBUG | NET | Request finished OK | {"url":"http:\/\/protonstatus.com\/vpn_status","method":"GET"}
2022-05-26T04:41:00.611Z | INFO  | OS | applicationDidEnterBackground | 
2022-05-26T04:41:00.613Z | INFO  | SETTINGS:CHANGE | Setting was changed | {"value":"1653540060.611279","key":"LastTimeForeground"}
2022-05-26T04:47:53.868Z | DEBUG | NET | Request started | {"url":"https:\/\/api.protonvpn.ch\/vpn","method":"GET"}
2022-05-26T04:47:53.868Z | DEBUG | NET | Request started | {"url":"http:\/\/protonstatus.com\/vpn_status","method":"GET"}
2022-05-26T04:47:54.189Z | INFO  | OS | applicationDidBecomeActive | 
2022-05-26T04:47:54.192Z | INFO  | SETTINGS:CHANGE | Setting was changed | {"key":"LastTimeForeground","value":"null"}
2022-05-26T04:47:54.200Z | DEBUG | USER_CERT | Checking if vpn authentication certificate refresh is needed | 
2022-05-26T04:47:54.203Z | INFO  | USER_CERT | Using existing vpn authentication keys | 
2022-05-26T04:47:54.205Z | DEBUG | USER_CERT | Stored vpn authentication certificate does not need refreshing (valid until 2022-05-26 20:52:48 +0000) | 
2022-05-26T04:47:55.271Z | DEBUG | NET | Request finished OK | {"url":"http:\/\/protonstatus.com\/vpn_status","method":"GET"}
2022-05-26T04:47:55.291Z | DEBUG | NET | Request started | {"url":"http:\/\/protonstatus.com\/vpn_status","method":"GET"}
2022-05-26T04:47:55.819Z | DEBUG | NET | Request finished OK | {"url":"http:\/\/protonstatus.com\/vpn_status","method":"GET"}
2022-05-26T04:47:55.855Z | DEBUG | NET | Request finished OK | {"url":"https:\/\/api.protonvpn.ch\/vpn","method":"GET"}
2022-05-26T04:48:25.290Z | DEBUG | NET | Request started | {"url":"http:\/\/protonstatus.com\/vpn_status","method":"GET"}
2022-05-26T04:48:26.331Z | DEBUG | NET | Request finished OK | {"url":"http:\/\/protonstatus.com\/vpn_status","method":"GET"}
2022-05-26T04:48:36.411Z | DEBUG | NET | Request started | {"url":"https:\/\/api.protonvpn.ch\/vpn","method":"GET"}
2022-05-26T04:48:36.815Z | DEBUG | NET | Request finished OK | {"url":"https:\/\/api.protonvpn.ch\/vpn","method":"GET"}
2022-05-26T04:48:48.822Z | INFO  | OS | applicationDidEnterBackground | 
2022-05-26T04:48:48.824Z | INFO  | SETTINGS:CHANGE | Setting was changed | {"value":"1653540528.8220348","key":"LastTimeForeground"}
2022-05-26T04:48:52.749Z | INFO  | OS | applicationDidBecomeActive | 
2022-05-26T04:48:52.750Z | INFO  | SETTINGS:CHANGE | Setting was changed | {"value":"null","key":"LastTimeForeground"}
2022-05-26T04:48:52.756Z | DEBUG | USER_CERT | Checking if vpn authentication certificate refresh is needed | 
2022-05-26T04:48:52.758Z | INFO  | USER_CERT | Using existing vpn authentication keys | 
2022-05-26T04:48:52.760Z | DEBUG | USER_CERT | Stored vpn authentication certificate does not need refreshing (valid until 2022-05-26 20:52:48 +0000) | 
2022-05-26T04:48:55.290Z | DEBUG | NET | Request started | {"url":"http:\/\/protonstatus.com\/vpn_status","method":"GET"}
2022-05-26T04:48:56.367Z | DEBUG | NET | Request finished OK | {"url":"http:\/\/protonstatus.com\/vpn_status","method":"GET"}
2022-05-26T04:49:25.289Z | DEBUG | NET | Request started | {"url":"http:\/\/protonstatus.com\/vpn_status","method":"GET"}
2022-05-26T04:49:26.423Z | DEBUG | NET | Request finished OK | {"url":"http:\/\/protonstatus.com\/vpn_status","method":"GET"}
2022-05-26T04:49:36.244Z | DEBUG | NET | Request started | {"url":"https:\/\/api.protonvpn.ch\/vpn\/servers\/J8XOGm20EYuwmfUIqgNEfJ6s2SgFLsC-ZXJp5GepciNePAYfaF_V7RnLNkf_lEgpI6xzEvhBdWW3ccb5lcIDWg==","method":"GET"}
2022-05-26T04:49:37.886Z | DEBUG | NET | Request finished OK | {"url":"https:\/\/api.protonvpn.ch\/vpn\/servers\/J8XOGm20EYuwmfUIqgNEfJ6s2SgFLsC-ZXJp5GepciNePAYfaF_V7RnLNkf_lEgpI6xzEvhBdWW3ccb5lcIDWg==","method":"GET"}
2022-05-26T04:49:55.289Z | DEBUG | NET | Request started | {"url":"http:\/\/protonstatus.com\/vpn_status","method":"GET"}
2022-05-26T04:49:56.339Z | DEBUG | NET | Request finished OK | {"url":"http:\/\/protonstatus.com\/vpn_status","method":"GET"}
2022-05-26T04:50:25.288Z | DEBUG | NET | Request started | {"url":"http:\/\/protonstatus.com\/vpn_status","method":"GET"}
2022-05-26T04:50:26.187Z | DEBUG | NET | Request finished OK | {"url":"http:\/\/protonstatus.com\/vpn_status","method":"GET"}
2022-05-26T04:50:55.288Z | DEBUG | NET | Request started | {"url":"http:\/\/protonstatus.com\/vpn_status","method":"GET"}
2022-05-26T04:50:56.214Z | DEBUG | NET | Request finished OK | {"url":"http:\/\/protonstatus.com\/vpn_status","method":"GET"}
2022-05-26T04:51:08.911Z | INFO  | OS | applicationDidEnterBackground | 
2022-05-26T04:51:08.913Z | INFO  | SETTINGS:CHANGE | Setting was changed | {"value":"1653540668.911433","key":"LastTimeForeground"}
2022-05-26T06:16:28.554Z | DEBUG | NET | Request started | {"url":"https:\/\/api.protonvpn.ch\/vpn","method":"GET"}
2022-05-26T06:16:28.554Z | DEBUG | NET | Request started | {"url":"http:\/\/protonstatus.com\/vpn_status","method":"GET"}
2022-05-26T06:16:28.555Z | DEBUG | NET | Request started | {"url":"https:\/\/api.protonvpn.ch\/vpn\/loads","method":"GET"}
2022-05-26T06:16:28.556Z | DEBUG | NET | Request started | {"url":"https:\/\/api.protonvpn.ch\/vpn\/servers\/J8XOGm20EYuwmfUIqgNEfJ6s2SgFLsC-ZXJp5GepciNePAYfaF_V7RnLNkf_lEgpI6xzEvhBdWW3ccb5lcIDWg==","method":"GET"}
2022-05-26T06:16:28.881Z | INFO  | OS | applicationDidBecomeActive | 
2022-05-26T06:16:28.885Z | INFO  | SETTINGS:CHANGE | Setting was changed | {"value":"null","key":"LastTimeForeground"}
2022-05-26T06:16:28.893Z | DEBUG | USER_CERT | Checking if vpn authentication certificate refresh is needed | 
2022-05-26T06:16:28.897Z | INFO  | USER_CERT | Using existing vpn authentication keys | 
2022-05-26T06:16:28.899Z | DEBUG | USER_CERT | Stored vpn authentication certificate does not need refreshing (valid until 2022-05-26 20:52:48 +0000) | 
2022-05-26T06:16:30.567Z | DEBUG | NET | Request finished OK | {"url":"http:\/\/protonstatus.com\/vpn_status","method":"GET"}
2022-05-26T06:16:30.827Z | DEBUG | NET | Request finished OK | {"url":"https:\/\/api.protonvpn.ch\/vpn\/servers\/J8XOGm20EYuwmfUIqgNEfJ6s2SgFLsC-ZXJp5GepciNePAYfaF_V7RnLNkf_lEgpI6xzEvhBdWW3ccb5lcIDWg==","method":"GET"}
2022-05-26T06:16:30.860Z | DEBUG | NET | Request finished OK | {"url":"https:\/\/api.protonvpn.ch\/vpn","method":"GET"}
2022-05-26T06:16:31.466Z | DEBUG | NET | Request finished OK | {"url":"https:\/\/api.protonvpn.ch\/vpn\/loads","method":"GET"}
2022-05-26T06:16:33.004Z | INFO  | OS | applicationDidEnterBackground | 
2022-05-26T06:16:33.004Z | INFO  | SETTINGS:CHANGE | Setting was changed | {"value":"1653545793.003612","key":"LastTimeForeground"}
2022-05-26T06:16:46.061Z | DEBUG | NET | Request started | {"url":"http:\/\/protonstatus.com\/vpn_status","method":"GET"}
2022-05-26T06:16:46.151Z | DEBUG | APP | Server list saved (count: 1731) | 
2022-05-26T06:16:46.382Z | INFO  | OS | applicationDidBecomeActive | 
2022-05-26T06:16:46.384Z | INFO  | SETTINGS:CHANGE | Setting was changed | {"key":"LastTimeForeground","value":"null"}
2022-05-26T06:16:46.392Z | DEBUG | USER_CERT | Checking if vpn authentication certificate refresh is needed | 
2022-05-26T06:16:46.396Z | INFO  | USER_CERT | Using existing vpn authentication keys | 
2022-05-26T06:16:46.398Z | DEBUG | USER_CERT | Stored vpn authentication certificate does not need refreshing (valid until 2022-05-26 20:52:48 +0000) | 
2022-05-26T06:16:47.092Z | DEBUG | NET | Request finished OK | {"url":"http:\/\/protonstatus.com\/vpn_status","method":"GET"}
2022-05-26T06:16:52.987Z | INFO  | OS | applicationDidEnterBackground | 
2022-05-26T06:16:52.988Z | INFO  | SETTINGS:CHANGE | Setting was changed | {"key":"LastTimeForeground","value":"1653545812.98732"}
2022-05-26T06:16:59.305Z | INFO  | OS | applicationDidBecomeActive | 
2022-05-26T06:16:59.308Z | INFO  | SETTINGS:CHANGE | Setting was changed | {"value":"null","key":"LastTimeForeground"}
2022-05-26T06:16:59.316Z | DEBUG | USER_CERT | Checking if vpn authentication certificate refresh is needed | 
2022-05-26T06:16:59.319Z | INFO  | USER_CERT | Using existing vpn authentication keys | 
2022-05-26T06:16:59.321Z | DEBUG | USER_CERT | Stored vpn authentication certificate does not need refreshing (valid until 2022-05-26 20:52:48 +0000) | 
2022-05-26T06:17:09.297Z | DEBUG | NET | Request started | {"url":"http:\/\/protonstatus.com\/vpn_status","method":"GET"}
2022-05-26T06:17:10.249Z | DEBUG | NET | Request finished OK | {"url":"http:\/\/protonstatus.com\/vpn_status","method":"GET"}
2022-05-26T06:17:23.199Z | INFO  | OS | applicationDidEnterBackground | 
2022-05-26T06:17:23.200Z | INFO  | SETTINGS:CHANGE | Setting was changed | {"value":"1653545843.198792","key":"LastTimeForeground"}
2022-05-26T06:18:23.480Z | DEBUG | NET | Request started | {"url":"http:\/\/protonstatus.com\/vpn_status","method":"GET"}
2022-05-26T06:18:23.806Z | INFO  | OS | applicationDidBecomeActive | 
2022-05-26T06:18:23.809Z | INFO  | SETTINGS:CHANGE | Setting was changed | {"value":"null","key":"LastTimeForeground"}
2022-05-26T06:18:23.818Z | DEBUG | USER_CERT | Checking if vpn authentication certificate refresh is needed | 
2022-05-26T06:18:23.821Z | INFO  | USER_CERT | Using existing vpn authentication keys | 
