2022-05-27T21:52:01.352Z | INFO  | SETTINGS:CHANGE | Setting was changed | {"key":"IntentionallyDisconnected","value":"false"}
2022-05-27T21:52:01.352Z | DEBUG | NET | Request started | {"url":"http:\/\/protonstatus.com\/vpn_status","method":"GET"}
2022-05-27T21:52:01.376Z | INFO  | SETTINGS:CHANGE | Setting was changed | {"key":"LastConnectedTimeStamp","value":"1653688321.214603"}
2022-05-27T21:52:01.376Z | INFO  | SETTINGS:CHANGE | Setting was changed | {"value":"1653688321.214603","key":"LastConnectedTimeStamp"}
2022-05-27T21:52:01.376Z | INFO  | SETTINGS:CHANGE | Setting was changed | {"key":"LastConnectedTimeStamp","value":"1653688321.214603"}
2022-05-27T21:52:01.377Z | INFO  | SETTINGS:CHANGE | Setting was changed | {"value":"1653688321.214603","key":"LastConnectedTimeStamp"}
2022-05-27T21:52:01.377Z | INFO  | SETTINGS:CHANGE | Setting was changed | {"key":"LastConnectedTimeStamp","value":"1653688321.214603"}
2022-05-27T21:52:01.378Z | INFO  | SETTINGS:CHANGE | Setting was changed | {"value":"1653688321.214603","key":"LastConnectedTimeStamp"}
2022-05-27T21:52:01.378Z | INFO  | SETTINGS:CHANGE | Setting was changed | {"key":"LastConnectedTimeStamp","value":"1653688321.214603"}
2022-05-27T21:52:01.378Z | INFO  | SETTINGS:CHANGE | Setting was changed | {"value":"1653688321.214603","key":"LastConnectedTimeStamp"}
2022-05-27T21:52:01.378Z | INFO  | SETTINGS:CHANGE | Setting was changed | {"key":"LastConnectedTimeStamp","value":"1653688321.214603"}
2022-05-27T21:52:01.378Z | INFO  | SETTINGS:CHANGE | Setting was changed | {"value":"1653688321.214603","key":"LastConnectedTimeStamp"}
2022-05-27T21:52:01.378Z | INFO  | SETTINGS:CHANGE | Setting was changed | {"key":"LastConnectedTimeStamp","value":"1653688321.214603"}
2022-05-27T21:52:01.378Z | INFO  | SETTINGS:CHANGE | Setting was changed | {"value":"1653688321.214603","key":"LastConnectedTimeStamp"}
2022-05-27T21:52:01.378Z | INFO  | SETTINGS:CHANGE | Setting was changed | {"key":"LastConnectedTimeStamp","value":"1653688321.214603"}
2022-05-27T21:52:01.379Z | INFO  | SETTINGS:CHANGE | Setting was changed | {"value":"1653688321.214603","key":"LastConnectedTimeStamp"}
2022-05-27T21:52:01.379Z | INFO  | SETTINGS:CHANGE | Setting was changed | {"key":"LastConnectedTimeStamp","value":"1653688321.214603"}
2022-05-27T21:52:01.379Z | INFO  | SETTINGS:CHANGE | Setting was changed | {"value":"1653688321.214603","key":"LastConnectedTimeStamp"}
2022-05-27T21:52:01.379Z | INFO  | SETTINGS:CHANGE | Setting was changed | {"key":"LastConnectedTimeStamp","value":"1653688321.214603"}
2022-05-27T21:52:01.379Z | INFO  | SETTINGS:CHANGE | Setting was changed | {"value":"1653688321.214603","key":"LastConnectedTimeStamp"}
2022-05-27T21:52:01.379Z | INFO  | SETTINGS:CHANGE | Setting was changed | {"key":"LastConnectedTimeStamp","value":"1653688321.214603"}
