2022-05-30T20:54:07.007Z | INFO  | SETTINGS:CHANGE | Setting was changed | {"key":"LastTimeForeground","value":"1653944047.005952"}
2022-05-30T20:54:28.508Z | INFO  | OS | applicationDidBecomeActive | 
2022-05-30T20:54:28.511Z | INFO  | SETTINGS:CHANGE | Setting was changed | {"value":"null","key":"LastTimeForeground"}
2022-05-30T20:54:28.519Z | DEBUG | USER_CERT | Checking if vpn authentication certificate refresh is needed | 
2022-05-30T20:54:28.523Z | INFO  | USER_CERT | Using existing vpn authentication keys | 
2022-05-30T20:54:28.524Z | DEBUG | USER_CERT | Stored vpn authentication certificate does not need refreshing (valid until 2022-05-31 03:00:31 +0000) | 
2022-05-30T20:54:30.341Z | DEBUG | NET | Request started | {"url":"http:\/\/protonstatus.com\/vpn_status","method":"GET"}
2022-05-30T20:54:31.788Z | DEBUG | NET | Request finished OK | {"url":"http:\/\/protonstatus.com\/vpn_status","method":"GET"}
2022-05-30T20:54:32.133Z | INFO  | OS | applicationDidEnterBackground | 
2022-05-30T20:54:32.133Z | INFO  | SETTINGS:CHANGE | Setting was changed | {"value":"1653944072.132659","key":"LastTimeForeground"}
2022-05-30T20:54:47.077Z | INFO  | OS | applicationDidBecomeActive | 
2022-05-30T20:54:47.080Z | INFO  | SETTINGS:CHANGE | Setting was changed | {"value":"null","key":"LastTimeForeground"}
2022-05-30T20:54:47.088Z | DEBUG | USER_CERT | Checking if vpn authentication certificate refresh is needed | 
2022-05-30T20:54:47.092Z | INFO  | USER_CERT | Using existing vpn authentication keys | 
2022-05-30T20:54:47.095Z | DEBUG | USER_CERT | Stored vpn authentication certificate does not need refreshing (valid until 2022-05-31 03:00:31 +0000) | 
2022-05-30T20:54:47.902Z | INFO  | SETTINGS:CHANGE | Setting was changed | {"key":"LastConnectedTimeStamp","value":"1653938222.9419408"}
2022-05-30T20:55:00.341Z | DEBUG | NET | Request started | {"url":"http:\/\/protonstatus.com\/vpn_status","method":"GET"}
2022-05-30T20:55:01.558Z | DEBUG | NET | Request finished OK | {"url":"http:\/\/protonstatus.com\/vpn_status","method":"GET"}
