2022-05-20T00:11:36.010Z | ERROR | NET:RESPONSE | Request failed | {"error":"Error Domain=NSURLErrorDomain Code=-1001 \"The request timed out.\" UserInfo={_kCFStreamErrorCodeKey=-2102, NSUnderlyingError=0x282ca9ad0 {Error Domain=kCFErrorDomainCFNetwork Code=-1001 \"(null)\" UserInfo={_kCFStreamErrorCodeKey=-2102, _kCFStreamErrorDomainKey=4}}, _NSURLErrorFailingURLSessionTaskErrorKey=LocalDataTask <B8F2AC49-ED5B-4C30-B73A-3C7D53B89A0C>.<55>, _NSURLErrorRelatedURLSessionTaskErrorKey=(\n    \"LocalDataTask <B8F2AC49-ED5B-4C30-B73A-3C7D53B89A0C>.<55>\"\n), NSLocalizedDescription=The request timed out., NSErrorFailingURLStringKey=https:\/\/api.protonvpn.ch\/vpn, NSErrorFailingURLKey=https:\/\/api.protonvpn.ch\/vpn, _kCFStreamErrorDomainKey=4}","method":"GET","url":"https:\/\/api.protonvpn.ch\/vpn"}
2022-05-20T00:11:36.010Z | ERROR | APP | RefreshAccount error | {"error":"Error Domain=NSURLErrorDomain Code=-1001 \"The request timed out.\" UserInfo={_kCFStreamErrorCodeKey=-2102, NSUnderlyingError=0x282ca9ad0 {Error Domain=kCFErrorDomainCFNetwork Code=-1001 \"(null)\" UserInfo={_kCFStreamErrorCodeKey=-2102, _kCFStreamErrorDomainKey=4}}, _NSURLErrorFailingURLSessionTaskErrorKey=LocalDataTask <B8F2AC49-ED5B-4C30-B73A-3C7D53B89A0C>.<55>, _NSURLErrorRelatedURLSessionTaskErrorKey=(\n    \"LocalDataTask <B8F2AC49-ED5B-4C30-B73A-3C7D53B89A0C>.<55>\"\n), NSLocalizedDescription=The request timed out., NSErrorFailingURLStringKey=https:\/\/api.protonvpn.ch\/vpn, NSErrorFailingURLKey=https:\/\/api.protonvpn.ch\/vpn, _kCFStreamErrorDomainKey=4}"}
2022-05-20T00:11:36.323Z | INFO  | OS | applicationDidBecomeActive | 
2022-05-20T00:11:36.326Z | INFO  | SETTINGS:CHANGE | Setting was changed | {"key":"LastTimeForeground","value":"null"}
2022-05-20T00:11:36.333Z | DEBUG | USER_CERT | Checking if vpn authentication certificate refresh is needed | 
2022-05-20T00:11:36.336Z | INFO  | USER_CERT | Using existing vpn authentication keys | 
2022-05-20T00:11:36.338Z | DEBUG | USER_CERT | Stored vpn authentication certificate does not need refreshing (valid until 2022-05-20 08:47:53 +0000) | 
2022-05-20T00:11:45.456Z | INFO  | OS | applicationDidEnterBackground | 
2022-05-20T00:11:45.458Z | INFO  | SETTINGS:CHANGE | Setting was changed | {"key":"LastTimeForeground","value":"1653005505.456156"}
2022-05-20T00:11:48.804Z | DEBUG | NET | Request finished OK | {"url":"http:\/\/protonstatus.com\/vpn_status","method":"GET"}
2022-05-20T00:11:49.684Z | DEBUG | NET | Request finished OK | {"url":"https:\/\/api.protonvpn.ch\/vpn\/streamingservices","method":"GET"}
2022-05-20T00:11:49.685Z | DEBUG | NET | Request finished OK | {"url":"https:\/\/api.protonvpn.ch\/vpn\/v2\/clientconfig","method":"GET"}
2022-05-20T00:11:49.687Z | DEBUG | NET | Request finished OK | {"url":"https:\/\/api.protonvpn.ch\/vpn\/servers\/0Q-bf5ZERFG7hxj6tq9Ins5FlYr_SgbcaMqHsstVmPu0p-sgHLOkRcnjRCeVrIzfenXm-PSBHOi3P_5No5TEGQ==","method":"GET"}
2022-05-20T00:11:49.688Z | DEBUG | NET | Request finished OK | {"url":"https:\/\/api.protonvpn.ch\/vpn","method":"GET"}
2022-05-20T00:11:49.805Z | DEBUG | NET | Request finished OK | {"url":"https:\/\/api.protonvpn.ch\/vpn","method":"GET"}
2022-05-20T00:19:33.819Z | DEBUG | NET | Request started | {"url":"http:\/\/protonstatus.com\/vpn_status","method":"GET"}
2022-05-20T00:19:33.819Z | DEBUG | NET | Request started | {"url":"https:\/\/api.protonvpn.ch\/vpn\/servers\/0Q-bf5ZERFG7hxj6tq9Ins5FlYr_SgbcaMqHsstVmPu0p-sgHLOkRcnjRCeVrIzfenXm-PSBHOi3P_5No5TEGQ==","method":"GET"}
2022-05-20T00:19:33.820Z | DEBUG | NET | Request started | {"url":"https:\/\/api.protonvpn.ch\/vpn","method":"GET"}
2022-05-20T00:19:33.820Z | DEBUG | NET | Request started | {"url":"https:\/\/api.protonvpn.ch\/vpn\/loads","method":"GET"}
